timestamp,device_id,device_type,location,power_watts,energy_kwh,operational_status,room_temp,outdoor_temp,humidity,light_level,motion_detected,door_status,user_id,user_presence,wifi_signal,weather_condition,electricity_price,anomaly_score,hour_of_day,day_of_week,is_weekend,month,season
20-01-2023 22:56,D003,oven,bedroom,73,0.401381993,1,18.83987594,12.50075195,53,22,0,0,U004,1,-75,cloudy,0.178883589,0.04196051,22,4,FALSE,1,1
20-01-2023 22:57,D004,oven,bedroom,101,0.986316627,0,23.21008555,19.06175114,66,44,0,0,U001,0,-2,rainy,0.121689776,0.03188748,22,4,FALSE,1,1
20-01-2023 22:58,D002,oven,kitchen,144,0.775742991,1,18.35168413,19.94279365,70,48,1,0,U005,0,-91,cloudy,0.14546197,0.071685048,22,4,FALSE,1,1
20-01-2023 22:59,D003,oven,bathroom,53,0.054669456,0,19.08435272,18.59129984,38,28,1,0,U003,1,-8,clear,0.104453933,0.011965888,22,4,FALSE,1,1
20-01-2023 23:00,D003,light,living_room,78,0.463419451,1,18.95443109,16.81778177,79,83,1,1,U002,0,-35,clear,0.156351056,0.000398085,23,4,FALSE,1,1
20-01-2023 23:01,D002,coffee_maker,bedroom,123,0.210205969,0,24.0476334,10.56762411,49,23,1,1,U003,0,-59,rainy,0.170756229,0.07693375,23,4,FALSE,1,1
20-01-2023 23:02,D001,refrigerator,bedroom,4,0.750249317,0,19.60698189,12.43751331,53,72,0,1,U003,0,-81,cloudy,0.178937059,0.016678356,23,4,FALSE,1,1
20-01-2023 23:03,D001,refrigerator,living_room,10,0.227057501,1,19.54283422,15.05458176,52,95,1,1,U004,1,-73,clear,0.106970728,0.002493472,23,4,FALSE,1,1
20-01-2023 23:04,D004,light,bedroom,50,0.438476789,1,20.73158171,19.00732062,40,32,1,1,U001,1,-44,rainy,0.133884499,0.025201775,23,4,FALSE,1,1
20-01-2023 23:05,D001,refrigerator,bathroom,140,0.691168084,0,23.19765522,14.53834213,73,60,1,0,U003,1,-51,rainy,0.102773217,0.021722269,23,4,FALSE,1,1
20-01-2023 23:06,D001,refrigerator,bedroom,128,0.956504236,1,20.61270371,11.51098205,69,56,0,0,U005,0,-79,clear,0.160719009,0.058146354,23,4,FALSE,1,1
20-01-2023 23:07,D001,refrigerator,kitchen,29,0.476820323,0,19.41835899,19.20590003,43,14,0,1,U003,0,-27,clear,0.128714439,0.031797156,23,4,FALSE,1,1
20-01-2023 23:08,D001,refrigerator,living_room,81,0.798869821,0,22.29547217,10.71407415,61,94,0,1,U002,0,-89,cloudy,0.160164728,0.009483575,23,4,FALSE,1,1
20-01-2023 23:09,D003,oven,bathroom,141,0.922818483,1,23.62816211,13.65885882,32,28,0,0,U002,1,-87,rainy,0.16051146,0.045405677,23,4,FALSE,1,1
20-01-2023 23:10,D003,refrigerator,bedroom,9,0.176739582,1,21.3870584,18.6423709,79,37,1,0,U003,0,-78,cloudy,0.183720651,0.043186832,23,4,FALSE,1,1
20-01-2023 23:11,D001,light,kitchen,131,0.291208657,1,24.81670809,15.45718615,37,38,0,0,U004,1,-74,clear,0.14084999,0.084129115,23,4,FALSE,1,1
20-01-2023 23:12,D001,refrigerator,bedroom,64,0.387395561,1,21.63069835,19.97248296,31,64,1,1,U003,0,-49,clear,0.107769565,0.053895145,23,4,FALSE,1,1
20-01-2023 23:13,D004,oven,kitchen,12,0.765537609,0,24.43885755,12.76250743,55,5,0,1,U002,1,-80,cloudy,0.184306141,0.007984508,23,4,FALSE,1,1
20-01-2023 23:14,D002,oven,bathroom,1,0.690835926,0,22.61218056,13.21233876,57,85,1,1,U003,1,-25,cloudy,0.193021827,0.090256548,23,4,FALSE,1,1
20-01-2023 23:15,D002,light,bathroom,119,0.945831486,0,23.48242682,12.74756336,38,25,1,1,U003,0,-16,rainy,0.136418314,0.087606687,23,4,FALSE,1,1
20-01-2023 23:16,D004,coffee_maker,bedroom,122,0.704569247,0,18.50870742,12.70134286,62,96,1,1,U003,1,-3,clear,0.120585008,0.090027262,23,4,FALSE,1,1
20-01-2023 23:17,D003,refrigerator,bedroom,70,0.025444341,1,23.60211809,10.13337273,47,45,0,0,U001,1,-14,rainy,0.100665672,0.052887857,23,4,FALSE,1,1
20-01-2023 23:18,D004,coffee_maker,living_room,145,0.413607808,0,23.19756006,12.29491362,69,36,0,1,U004,1,-86,rainy,0.17805613,0.019637295,23,4,FALSE,1,1
20-01-2023 23:19,D002,coffee_maker,bathroom,84,0.979514445,1,22.52846729,15.1153654,48,36,0,0,U004,0,-38,cloudy,0.103077866,0.042482779,23,4,FALSE,1,1
20-01-2023 23:20,D003,coffee_maker,living_room,73,0.003633297,1,24.75589966,18.78180742,38,77,1,0,U003,0,-48,rainy,0.11472472,0.039023542,23,4,FALSE,1,1
20-01-2023 23:21,D002,coffee_maker,bedroom,134,0.688724426,0,23.08290803,11.18660898,79,37,0,0,U003,1,-11,clear,0.13393167,0.09207951,23,4,FALSE,1,1
20-01-2023 23:22,D004,refrigerator,bedroom,91,0.606696943,1,22.68856489,16.50547928,31,24,0,0,U003,0,-20,rainy,0.192337244,0.070942187,23,4,FALSE,1,1
20-01-2023 23:23,D002,light,bedroom,0,0.748191869,0,20.84691628,18.95317606,43,85,0,0,U003,1,-14,clear,0.134699656,0.082987028,23,4,FALSE,1,1
20-01-2023 23:24,D003,coffee_maker,living_room,73,0.630399188,0,22.67175665,14.00202934,55,89,0,1,U003,0,-75,rainy,0.123796314,0.039223233,23,4,FALSE,1,1
20-01-2023 23:25,D004,refrigerator,kitchen,79,0.272144447,1,24.93411296,13.93871664,47,57,0,1,U002,1,-85,clear,0.109704126,0.016716906,23,4,FALSE,1,1
20-01-2023 23:26,D003,oven,kitchen,135,0.782309641,0,20.6390189,17.94093782,59,43,1,0,U002,1,-16,clear,0.187586912,0.049545414,23,4,FALSE,1,1
